kind	method	route	file	line
express	GET	/advanced	apps/api/src/routes/admin/advanced.routes.ts	6
express	GET	/overview	apps/api/src/routes/admin/data.routes.ts	6
express	POST	/prompts	apps/api/src/routes/admin/data.routes.ts	7
express	GET	/future	apps/api/src/routes/admin/future.routes.ts	6
express	GET	/intelligence	apps/api/src/routes/admin/intelligence.routes.ts	6
express	POST	/catalog/products	apps/api/src/routes/admin/intelligence.routes.ts	7
express	GET	/operator	apps/api/src/routes/admin/operator.routes.ts	6
express	POST	/operator/mode	apps/api/src/routes/admin/operator.routes.ts	7
express	GET	/recovery	apps/api/src/routes/admin/recovery.routes.ts	6
express	POST	/recovery/draft	apps/api/src/routes/admin/recovery.routes.ts	7
express	POST	/recovery/send	apps/api/src/routes/admin/recovery.routes.ts	8
express	GET	/reports/commercial	apps/api/src/routes/admin/reports.routes.ts	6
express	GET	/reports/contacts.csv	apps/api/src/routes/admin/reports.routes.ts	7
express	GET	/reports/commercial.html	apps/api/src/routes/admin/reports.routes.ts	8
express	GET	/status	apps/api/src/routes/admin/status.routes.ts	6
express	POST	/login	apps/api/src/routes/auth.routes.ts	11
express	POST	/logout	apps/api/src/routes/auth.routes.ts	12
express	GET	/session	apps/api/src/routes/auth.routes.ts	13
express	GET	/	apps/api/src/routes/customers.routes.ts	5
express	GET	/	apps/api/src/routes/health.routes.ts	6
express	USE	/health	apps/api/src/routes/index.ts	37
express	USE	/auth	apps/api/src/routes/index.ts	38
express	USE	/platform	apps/api/src/routes/index.ts	39
express	USE	/webhook/whatsapp	apps/api/src/routes/index.ts	40
express	USE	/customers	apps/api/src/routes/index.ts	42
express	USE	/orders	apps/api/src/routes/index.ts	43
express	USE	/stock	apps/api/src/routes/index.ts	44
express	USE	/platform	apps/api/src/routes/index.ts	46
express	USE	/admin	apps/api/src/routes/index.ts	59
express	USE	/admin	apps/api/src/routes/index.ts	60
express	USE	/admin	apps/api/src/routes/index.ts	61
express	USE	/admin	apps/api/src/routes/index.ts	62
express	USE	/admin	apps/api/src/routes/index.ts	63
express	USE	/admin	apps/api/src/routes/index.ts	64
express	USE	/admin	apps/api/src/routes/index.ts	65
express	USE	/admin	apps/api/src/routes/index.ts	66
express	GET	/	apps/api/src/routes/orders.routes.ts	5
express	GET	/	apps/api/src/routes/stock.routes.ts	5
express	GET	/	apps/api/src/routes/whatsapp.routes.ts	9
express	POST	/	apps/api/src/routes/whatsapp.routes.ts	10
next-page	ANY	/ai-core	apps/dashboard/src/app/ai-core/page.tsx	1
next-page	ANY	/analytics	apps/dashboard/src/app/analytics/page.tsx	1
next-page	ANY	/campaigns	apps/dashboard/src/app/campaigns/page.tsx	1
next-page	ANY	/catalog/curves	apps/dashboard/src/app/catalog/curves/page.tsx	1
next-page	ANY	/catalog/intake	apps/dashboard/src/app/catalog/intake/page.tsx	1
next-page	ANY	/catalog/new	apps/dashboard/src/app/catalog/new/page.tsx	1
next-page	ANY	/catalog	apps/dashboard/src/app/catalog/page.tsx	1
next-page	ANY	/catalog/pricing	apps/dashboard/src/app/catalog/pricing/page.tsx	1
next-page	ANY	/catalog/stock	apps/dashboard/src/app/catalog/stock/page.tsx	1
next-page	ANY	/conversations	apps/dashboard/src/app/conversations/page.tsx	1
next-page	ANY	/crm	apps/dashboard/src/app/crm/page.tsx	1
next-page	ANY	/integrations	apps/dashboard/src/app/integrations/page.tsx	1
next-page	ANY	/login	apps/dashboard/src/app/login/page.tsx	1
next-page	ANY	/orders/new	apps/dashboard/src/app/orders/new/page.tsx	1
next-page	ANY	/	apps/dashboard/src/app/page.tsx	1
next-page	ANY	/platform/activity	apps/dashboard/src/app/platform/activity/page.tsx	1
next-page	ANY	/platform/billing	apps/dashboard/src/app/platform/billing/page.tsx	1
next-page	ANY	/platform/companies/fulanitas/activity	apps/dashboard/src/app/platform/companies/fulanitas/activity/page.tsx	1
next-page	ANY	/platform/companies/fulanitas/branding	apps/dashboard/src/app/platform/companies/fulanitas/branding/page.tsx	1
next-page	ANY	/platform/companies/fulanitas	apps/dashboard/src/app/platform/companies/fulanitas/page.tsx	1
next-page	ANY	/platform/companies/fulanitas/panel-preview	apps/dashboard/src/app/platform/companies/fulanitas/panel-preview/page.tsx	1
next-page	ANY	/platform/companies/fulanitas/robot	apps/dashboard/src/app/platform/companies/fulanitas/robot/page.tsx	1
next-page	ANY	/platform/companies/fulanitas/subscription	apps/dashboard/src/app/platform/companies/fulanitas/subscription/page.tsx	1
next-page	ANY	/platform/companies/fulanitas/users	apps/dashboard/src/app/platform/companies/fulanitas/users/page.tsx	1
next-page	ANY	/platform/companies/new	apps/dashboard/src/app/platform/companies/new/page.tsx	1
next-page	ANY	/platform/companies	apps/dashboard/src/app/platform/companies/page.tsx	1
next-page	ANY	/platform	apps/dashboard/src/app/platform/page.tsx	1
next-page	ANY	/platform/plans	apps/dashboard/src/app/platform/plans/page.tsx	1
next-page	ANY	/platform/robots	apps/dashboard/src/app/platform/robots/page.tsx	1
next-page	ANY	/platform/settings	apps/dashboard/src/app/platform/settings/page.tsx	1
next-page	ANY	/platform/subscriptions	apps/dashboard/src/app/platform/subscriptions/page.tsx	1
next-page	ANY	/platform/system	apps/dashboard/src/app/platform/system/page.tsx	1
next-page	ANY	/platform/users	apps/dashboard/src/app/platform/users/page.tsx	1
next-page	ANY	/prompts	apps/dashboard/src/app/prompts/page.tsx	1
next-page	ANY	/recovery	apps/dashboard/src/app/recovery/page.tsx	1
next-page	ANY	/settings	apps/dashboard/src/app/settings/page.tsx	1
