signal	file	line
json.serialization	apps/api/src/auth/auth.config.ts	23
filesystem.read	apps/api/src/platform/platform.repository.ts	16
json.serialization	apps/api/src/platform/platform.repository.ts	17
filesystem.write	apps/api/src/platform/platform.repository.ts	34
json.serialization	apps/api/src/platform/platform.repository.ts	36
fetch.request	apps/api/src/services/anthropic/anthropic.client.ts	8
json.serialization	apps/api/src/services/anthropic/anthropic.client.ts	15
fetch.request	apps/api/src/services/anthropic/anthropic.service.ts	7
json.serialization	apps/api/src/services/anthropic/anthropic.service.ts	14
filesystem.write	apps/api/src/services/audio/audio-transcription.service.ts	24
fetch.request	apps/api/src/services/audio/audio-transcription.service.ts	32
supabase.request	apps/api/src/services/campaigns/campaign.service.ts	1
supabase.request	apps/api/src/services/campaigns/campaign.service.ts	33
supabase.request	apps/api/src/services/campaigns/campaign.service.ts	74
supabase.request	apps/api/src/services/catalog/catalog.repository.ts	1
supabase.request	apps/api/src/services/catalog/catalog.repository.ts	47
supabase.request	apps/api/src/services/catalog/catalog.repository.ts	59
supabase.request	apps/api/src/services/conversations/conversation.repository.ts	1
supabase.request	apps/api/src/services/conversations/conversation.repository.ts	53
supabase.request	apps/api/src/services/conversations/conversation.repository.ts	59
supabase.request	apps/api/src/services/conversations/conversation.repository.ts	76
supabase.request	apps/api/src/services/conversations/conversation.repository.ts	105
supabase.request	apps/api/src/services/conversations/conversation.repository.ts	121
supabase.request	apps/api/src/services/conversations/conversation.repository.ts	138
supabase.request	apps/api/src/services/crm/crm.repository.ts	1
supabase.request	apps/api/src/services/crm/crm.repository.ts	33
supabase.request	apps/api/src/services/crm/crm.repository.ts	49
supabase.request	apps/api/src/services/db/supabase-rest.client.ts	7
fetch.request	apps/api/src/services/db/supabase-rest.client.ts	20
json.serialization	apps/api/src/services/db/supabase-rest.client.ts	28
json.serialization	apps/api/src/services/db/supabase-rest.client.ts	32
supabase.request	apps/api/src/services/followup/followup.service.ts	1
supabase.request	apps/api/src/services/followup/followup.service.ts	68
supabase.request	apps/api/src/services/followup/followup.service.ts	82
supabase.request	apps/api/src/services/governance/agent-governance.service.ts	1
supabase.request	apps/api/src/services/governance/agent-governance.service.ts	26
supabase.request	apps/api/src/services/governance/agent-governance.service.ts	94
json.serialization	apps/api/src/services/integrations/integration-secrets.repository.ts	285
json.serialization	apps/api/src/services/integrations/integration-secrets.repository.ts	368
filesystem.write	apps/api/src/services/integrations/integration-secrets.repository.ts	402
json.serialization	apps/api/src/services/integrations/integration-secrets.repository.ts	405
filesystem.read	apps/api/src/services/integrations/integration-secrets.repository.ts	432
json.serialization	apps/api/src/services/integrations/integration-secrets.repository.ts	438
filesystem.write	apps/api/src/services/integrations/integration-secrets.repository.ts	640
json.serialization	apps/api/src/services/integrations/integration-secrets.repository.ts	643
fetch.request	apps/api/src/services/integrations/integration-test.service.ts	231
supabase.request	apps/api/src/services/knowledge/knowledge.repository.ts	1
supabase.request	apps/api/src/services/knowledge/knowledge.repository.ts	25
supabase.request	apps/api/src/services/knowledge/knowledge.repository.ts	45
supabase.request	apps/api/src/services/learning/learning-engine.service.ts	1
supabase.request	apps/api/src/services/learning/learning-engine.service.ts	26
supabase.request	apps/api/src/services/learning/learning-engine.service.ts	49
supabase.request	apps/api/src/services/memory/customer-memory.repository.ts	1
supabase.request	apps/api/src/services/memory/customer-memory.repository.ts	28
supabase.request	apps/api/src/services/memory/customer-memory.repository.ts	49
fetch.request	apps/api/src/services/ninox/ninox.client.ts	9
supabase.request	apps/api/src/services/operator/operator.service.ts	1
supabase.request	apps/api/src/services/operator/operator.service.ts	23
supabase.request	apps/api/src/services/operator/operator.service.ts	39
supabase.request	apps/api/src/services/operator/operator.service.ts	50
supabase.request	apps/api/src/services/predictive/predictive-engine.service.ts	1
supabase.request	apps/api/src/services/predictive/predictive-engine.service.ts	54
supabase.request	apps/api/src/services/predictive/predictive-engine.service.ts	73
supabase.request	apps/api/src/services/prompts/prompt.repository.ts	1
supabase.request	apps/api/src/services/prompts/prompt.repository.ts	36
supabase.request	apps/api/src/services/prompts/prompt.repository.ts	55
supabase.request	apps/api/src/services/quality/conversation-quality.service.ts	1
supabase.request	apps/api/src/services/quality/conversation-quality.service.ts	69
supabase.request	apps/api/src/services/quality/conversation-quality.service.ts	81
supabase.request	apps/api/src/services/recovery/recovery.repository.ts	1
supabase.request	apps/api/src/services/recovery/recovery.repository.ts	43
supabase.request	apps/api/src/services/recovery/recovery.repository.ts	85
supabase.request	apps/api/src/services/recovery/recovery.repository.ts	97
supabase.request	apps/api/src/services/scoring/lead-scoring.service.ts	1
supabase.request	apps/api/src/services/scoring/lead-scoring.service.ts	69
supabase.request	apps/api/src/services/scoring/lead-scoring.service.ts	88
supabase.request	apps/api/src/services/semantic/semantic-engine.service.ts	1
supabase.request	apps/api/src/services/semantic/semantic-engine.service.ts	24
supabase.request	apps/api/src/services/semantic/semantic-engine.service.ts	83
fetch.request	apps/api/src/services/system/system-status.service.ts	58
